resource_id,station_id,capacity,resource_type
R01_1,1,2,staff
R01_2,1,2,equipment
R01_3,1,2,room
R02_1,2,2,staff
R02_2,2,1,equipment
R03_1,3,3,staff
R04_1,4,1,staff
R04_2,4,2,equipment
R05_1,5,1,staff
R05_2,5,1,equipment
R06_1,6,1,staff
R06_2,6,1,equipment
R06_3,6,2,room
R07_1,7,3,staff
R07_2,7,3,equipment
R08_1,8,2,staff
R09_1,9,2,staff
R10_1,10,1,staff
R11_1,11,1,staff
R11_2,11,2,equipment
R11_3,11,1,room
R12_1,12,3,staff
R12_2,12,2,equipment
R12_3,12,3,room
R13_1,13,1,staff
R13_2,13,1,equipment
R14_1,14,1,staff
R15_1,15,1,staff
R16_1,16,1,staff
R16_2,16,2,equipment
R17_1,17,3,staff
R17_2,17,2,equipment
R18_1,18,2,staff
R18_2,18,1,equipment
R18_3,18,2,room
R19_1,19,2,staff
R19_2,19,2,equipment
R20_1,20,1,staff
R20_2,20,1,equipment
R21_1,21,3,staff
R21_2,21,1,equipment
R21_3,21,3,room
R22_1,22,1,staff
R22_2,22,3,equipment
R22_3,22,2,room
R23_1,23,2,staff
R23_2,23,2,equipment
R23_3,23,1,room
R24_1,24,2,staff
